-e	-e	Rq-y
fogom	fog	Vmip1s---y
fogorvosi	fogorvosi	Afp-sn
fogott	fog	Vmis3s---n
fogott	fogott	Afp-sn
fogsort	fogsor	Nc-sa
fogsz	fog	Vmip2s---n
fogság	fogság	Nc-sn
fogsága	fogság	Nc-sn---s3
fogságba	fogság	Nc-sx
fogságban	fogság	Nc-s2
fogta	fog	Vmis3s---y
fogtak	fog	Vmis3p---n
fogtok	fog	Vmip2p---n
fogták	fog	Vmis3p---y
fogunk	fog	Nc-sn---p1
fogunk	fog	Vmip1p---n
fogva	fogva	Rv
fogva	fogva	St
fogy	fogy	Vmip3s---n
fogyasztani	fogyaszt	Vmn
fogyasztott	fogyaszt	Vmis3s---n
fogyasztott	fogyasztott	Afp-sn
fogyasztás	fogyasztás	Nc-sn
fogyasztása	fogyasztás	Nc-sn---s3
fogyasztáscsökkenést	fogyasztáscsökkenés	Nc-sa
fogyasztási	fogyasztási	Afp-sn
fogyasztásnövelő	fogyasztásnövelő	Afp-sn
fogyasztásra	fogyasztás	Nc-ss
fogyasztásélénkítő	fogyasztásélénkítő	Afp-sn
fogyasztó	fogyasztó	Afp-sn
fogyasztó	fogyasztó	Nc-sn
fogyasztói	fogyasztó	Afp-pn----s3
fogyasztói	fogyasztó	Nc-pn---s3
fogyasztói	fogyasztói	Afp-sn
fogyasztókat	fogyasztó	Afp-pa
fogyasztókat	fogyasztó	Nc-pa
fogyasztókkal	fogyasztó	Afp-pi
fogyasztókkal	fogyasztó	Nc-pi
fogyasztónak	fogyasztó	Afp-sd
fogyasztónak	fogyasztó	Nc-sd
fogyasztót	fogyasztó	Afp-sa
fogyasztót	fogyasztó	Nc-sa
fogyasztóval	fogyasztó	Afp-si
fogyasztóval	fogyasztó	Nc-si
fogyasztóvédelmi	fogyasztóvédelmi	Afp-sn
fogyatékos	fogyatékos	Afp-sn
fogyatékosokat	fogyatékos	Afp-pa
fogyjanak	fogy	Vmmp3p---n
fogyna	fogy	Vmcp3s---n
fogynak	fogy	Vmip3p---n
fogyott	fogy	Vmis3s---n
fogyott	fogyott	Afp-sn
fogytál	fogy	Vmis2s---n
fogyását	fogyás	Nc-sa---s3
fogyó	fogyó	Afp-sn
fogás	fogás	Nc-sn
fogása	fogás	Nc-sn---s3
fogásaiból	fogás	Nc-pe---s3
fogásnak	fogás	Nc-sd
fogászat	fogászat	Nc-sn
fogászati	fogászati	Afp-sn
fogászaton	fogászat	Nc-sp
fogászatot	fogászat	Nc-sa
fogászattal	fogászat	Nc-si
fogát	fog	Nc-sa---s3
fogékony	fogékony	Afp-sn
fogügyi	fogügyi	Afp-sn
fojtanának	fojt	Vmcp3p---n
fojtott	fojt	Vmis3s---n
fojtott	fojtott	Afp-sn
fojtotta	fojt	Vmis3s---y
fojtottak	fojt	Vmis3p---n
fojtottak	fojtott	Afp-pn
fojtottam	fojt	Vmis1s---n
fojtottam	fojt	Vmis1s---y
fojtottam	fojtott	Afp-sn----s1
fojtottan	fojtott	Afp-sw
fok	fok	Nc-sn
foka	fok	Nc-sn---s3
fokhagymás	fokhagymás	Afp-sn
fokig	fok	Nc-s9
fokkal	fok	Nc-si
fokkert	fokkert	Nc-sn
fokokat	fok	Nc-pa
fokon	fok	Nc-sp
fokos	fokos	Afp-sn
fokos	fokos	Nc-sn
fokot	fok	Nc-sa
fokozat	fokozat	Nc-sn
fokozat	fokozat	Vmip3s---n
fokozatos	fokozatos	Afp-sn
fokozatosan	fokozatos	Afp-sw
fokozatát	fokozat	Nc-sa---s3
fokozni	fokoz	Vmn
fokozott	fokoz	Vmis3s---n
fokozott	fokozott	Afp-sn
fokozottabb	fokozott	Afc-sn
fokozottan	fokozott	Afp-sw
fokozta	fokoz	Vmis3s---y
fokozza	fokoz	Vmip3s---y
fokozza	fokoz	Vmmp3s---y
fokozódott	fokozódik	Vmis3s---n
fokozódott	fokozódott	Afp-sn
fokozódásával	fokozódás	Nc-si---s3
fokozódó	fokozódó	Afp-sn
fokra	fok	Nc-ss
fokról	fok	Nc-sh
fokváros	fokváros	Nc-sn
fokát	fok	Nc-sa---s3
fokú	fokú	Afp-sn
folt	folt	Nc-sn
foltjai	folt	Nc-pn---s3
foltok	folt	Nc-pn
foltokat	folt	Nc-pa
foltokban	folt	Nc-p2
folton	folt	Nc-sp
foltot	folt	Nc-sa
foltozott	foltoz	Vmis3s---n
foltozott	foltozott	Afp-sn
folyadék	folyadék	Nc-sn
folyadékkal	folyadék	Nc-si
folyadékot	folyadék	Nc-sa
folyamat	folyamat	Nc-sn
folyamatait	folyamat	Nc-pa---s3
folyamatban	folyamat	Nc-s2
folyamatként	folyamat	Rg
folyamatnak	folyamat	Nc-sd
folyamatok	folyamat	Nc-pn
folyamaton	folyamat	Nc-sp
folyamatos	folyamatos	Afp-sn
folyamatosak	folyamatos	Afp-pn
folyamatosan	folyamatos	Afp-sw
folyamatot	folyamat	Nc-sa
folyamatában	folyamat	Nc-s2---s3
folyamatából	folyamat	Nc-se---s3
folyamatára	folyamat	Nc-ss---s3
folyamatát	folyamat	Nc-sa---s3
folyami	folyami	Afp-sn
folyamodnak	folyam	Nc-sd---s2
folyamodnak	folyamodik	Vmip3p---n
folyamodtak	folyamodik	Vmis3p---n
folyamán	folyam	Nc-sp---s3
folyamát	folyam	Nc-sa---s3
folydogál	folydogál	Vmip3s---n
folydogált	folydogál	Vmis3s---n
folydogált	folydogált	Afp-sn
folyik	folyik	Vmip3s---n
folyja	folyik	Vmip3s---y
folyja	folyik	Vmmp3s---y
folynak	folyik	Vmip3p---n
folyosó	folyosó	Nc-sn
folyosóin	folyosó	Nc-pp---s3
folyosójában	folyosó	Nc-s2---s3
folyosóján	folyosó	Nc-sp---s3
folyosókat	folyosó	Nc-pa
folyosókon	folyosó	Nc-pp
folyosólabirintusában	folyosólabirintus	Nc-s2---s3
folyosón	folyosó	Nc-sp
folyosóra	folyosó	Nc-ss
folyosót	folyosó	Nc-sa
folyt	folyik	Vmis3s---n
folyt	folyt	Afp-sn
folytak	folyik	Vmis3p---n
folytak	folyt	Afp-pn
folytassa	folytat	Vmmp3s---y
folytat	folyt	Afp-sa
folytat	folytat	Vmip3s---n
folytathatja	folytathat	Vmip3s---y
folytathatják	folytathat	Vmip3p---y
folytatható	folytatható	Afp-sn
folytatja	folytat	Vmip3s---y
folytatjuk	folytat	Vmip1p---y
folytatják	folytat	Vmip3p---y
folytatnak	folytat	Vmip3p---n
folytatni	folytat	Vmn
folytatná	folytat	Vmcp3s---y
folytatod	folytat	Vmip2s---y
folytatott	folytat	Vmis3s---n
folytatott	folytatott	Afp-sn
folytatta	folytat	Vmis3s---y
folytattak	folytat	Vmis3p---n
folytatták	folytat	Vmis3p---y
folytatunk	folytat	Vmip1p---n
folytatás	folytatás	Nc-sn
folytatása	folytatás	Nc-sn---s3
folytatáshoz	folytatás	Nc-st
folytatásának	folytatás	Nc-sd---s3
folytatására	folytatás	Nc-ss---s3
folytatását	folytatás	Nc-sa---s3
folytatódik	folytatódik	Vmip3s---n
folytatódnak	folytató	Afp-sd----s2
folytatódnak	folytatódik	Vmip3p---n
folytatódni	folytatódik	Vmn
folytatódnia	folytatódik	Vmnp3s
folytatódott	folytatódik	Vmis3s---n
folytatódott	folytatódott	Afp-sn
folytatódó	folytatódó	Afp-sn
folyton	folyt	Afp-sp
folyton	folyton	Rg
folytonos	folytonos	Afp-sn
folytonosak	folytonos	Afp-pn
folytonosan	folytonos	Afp-sw
folytonossá	folytonos	Afp-sy
folytonosság	folytonosság	Nc-sn
folytonosságot	folytonosság	Nc-sa
folytonosságának	folytonosság	Nc-sd---s3
folytán	folytán	St
folyékony	folyékony	Afp-sn
folyékonyan	folyékony	Afp-sw
folyó	folyó	Afp-sn
folyó	folyó	Nc-sn
folyóan	folyó	Afp-sw
folyócska	folyócska	Nc-sn
folyóirat	folyóirat	Nc-sn
folyóiratban	folyóirat	Nc-s2
folyóiratként	folyóirat	Rg
folyóiratnak	folyóirat	Nc-sd
folyóiratok	folyóirat	Nc-pn
folyóiratokban	folyóirat	Nc-p2
folyóiratot	folyóirat	Nc-sa
folyóiratról	folyóirat	Nc-sh
folyóirattá	folyóirat	Nc-sy
folyón	folyó	Afp-sp
folyón	folyó	Afp-sw
folyón	folyó	Nc-sp
folyónapszám	folyónapszám	Nc-sn
folyónapszámnak	folyónapszám	Nc-sd
folyópart	folyópart	Nc-sn
folyósítja	folyósít	Vmip3s---y
folyósított	folyósít	Vmis3s---n
folyósított	folyósított	Afp-sn
folyósítását	folyósítás	Nc-sa---s3
fondorlat	fondorlat	Nc-sn
fonja	fon	Vmip3s---y
fonja	fon	Vmmp3s---y
fonnyadt	fonnyad	Vmis3s---n
fonnyadt	fonnyadt	Afp-sn
font	fon	Vmis3s---n
font	font	Afp-sn
font	font	Nc-sn
fonta	fon	Vmis3s---y
fontba	font	Afp-sx
fontba	font	Nc-sx
fontolgat	fontolgat	Vmip3s---n
fontolgatja	fontolgat	Vmip3s---y
fontolgatják	fontolgat	Vmip3p---y
fontolóra	fontoló	Afp-ss
fontolóra	fontoló	Nc-ss
fontos	fontos	Afp-sn
fontosabb	fontos	Afc-sn
fontosabbaké	fontos	Afc-pn------s
fontosabbik	fontosabbik	Afc-sn
fontosabbnak	fontos	Afc-sd
fontosak	fontos	Afp-pn
fontosnak	fontos	Afp-sd
fontossá	fontos	Afp-sy
fontossági	fontossági	Afp-sn
fontosságod	fontosság	Nc-sn---s2
fontosságára	fontosság	Nc-ss---s3
fontosságát	fontosság	Nc-sa---s3
fontosságával	fontosság	Nc-si---s3
fontért	font	Afp-sc
fontért	font	Nc-sc
fontért	fontért	Afp-sn
fonák	fonák	Afp-sn
fonódtak	fonódik	Vmis3p---n
fonókról	fonó	Afp-ph
fonókról	fonó	Nc-ph
fordul	fordul	Vmip3s---n
fordulat	fordulat	Nc-sn
fordulatok	fordulat	Nc-pn
fordulatot	fordulat	Nc-sa
fordulhat	fordulhat	Vmip3s---n
fordulhatnak	fordulhat	Vmip3p---n
fordulj	fordul	Vmmp2s---n
forduljon	fordul	Vmmp3s---n
fordulnak	fordul	Vmip3p---n
fordulni	fordul	Vmn
fordulnia	fordul	Vmnp3s
fordulok	fordul	Vmip1s---n
fordult	fordul	Vmis3s---n
fordult	fordult	Afp-sn
fordultak	fordul	Vmis3p---n
fordultak	fordult	Afp-pn
fordulás	fordulás	Nc-sn
forduló	forduló	Afp-sn
forduló	forduló	Nc-sn
fordulóban	forduló	Afp-s2
fordulóban	forduló	Nc-s2
fordulóiban	forduló	Afp-p2----s3
fordulóiban	forduló	Nc-p2---s3
fordulóiban	fordulói	Afp-s2
fordulóig	forduló	Afp-s9
fordulóig	forduló	Nc-s9
fordulója	forduló	Afp-sn----s3
fordulója	forduló	Nc-sn---s3
fordulójában	forduló	Afp-s2----s3
fordulójában	forduló	Nc-s2---s3
fordulóján	forduló	Afp-sp----s3
fordulóján	forduló	Nc-sp---s3
fordulójára	forduló	Afp-ss----s3
fordulójára	forduló	Nc-ss---s3
fordulóját	forduló	Afp-sa----s3
fordulóját	forduló	Nc-sa---s3
fordulókat	forduló	Afp-pa
fordulókat	forduló	Nc-pa
fordulókban	forduló	Afp-p2
fordulókban	forduló	Nc-p2
fordulópont	fordulópont	Nc-sn
fordulót	forduló	Afp-sa
fordulót	forduló	Nc-sa
fordulóval	forduló	Afp-si
fordulóval	forduló	Nc-si
fordít	fordít	Vmip3s---n
fordítanak	fordít	Vmip3p---n
fordítani	fordít	Vmn
fordítaniuk	fordít	Vmnp3p
fordítanák	fordít	Vmcp3p---y
fordíthatta	fordíthat	Vmis3s---y
fordíthattunk	fordíthat	Vmis1p---n
fordítható	fordítható	Afp-sn
fordítja	fordít	Vmip3s---y
fordítjuk	fordít	Vmip1p---y
fordítják	fordít	Vmip3p---y
fordított	fordít	Vmis3s---n
fordított	fordított	Afp-sn
fordította	fordít	Vmis3s---y
fordítottak	fordít	Vmis3p---n
fordítottak	fordított	Afp-pn
fordítottam	fordít	Vmis1s---n
fordítottam	fordít	Vmis1s---y
fordítottam	fordított	Afp-sn----s1
fordították	fordít	Vmis3p---y
fordítva	fordítva	Rv
fordítások	fordítás	Nc-pn
fordítását	fordítás	Nc-sa---s3
forgalma	forgalom	Nc-sn---s3
forgalmas	forgalmas	Afp-sn
forgalmat	forgalom	Nc-sa
forgalmazott	forgalmaz	Vmis3s---n
forgalmazott	forgalmazott	Afp-sn
forgalmaztak	forgalmaz	Vmis3p---n
forgalmazása	forgalmazás	Nc-sn---s3
forgalmazásában	forgalmazás	Nc-s2---s3
forgalmazásával	forgalmazás	Nc-si---s3
forgalmazó	forgalmazó	Afp-sn
forgalmazói	forgalmazó	Afp-pn----s3
forgalmazói	forgalmazói	Afp-sn
forgalmazóit	forgalmazó	Afp-pa----s3
forgalmazóit	forgalmazói	Afp-sa
forgalmazók	forgalmazó	Afp-pn
forgalmi	forgalmi	Afp-sn
forgalmát	forgalom	Nc-sa---s3
forgalmú	forgalmú	Afp-sn
forgalom	forgalom	Nc-sn
forgalomba	forgalom	Nc-sx
forgalomban	forgalom	Nc-s2
forgalomból	forgalom	Nc-se
forgalomnövekedés	forgalomnövekedés	Nc-sn
forgalomnövekedést	forgalomnövekedés	Nc-sa
forgalomszűkülés	forgalomszűkülés	Nc-sn
forgatja	forgat	Vmip3s---y
forgatnak	forgat	Vmip3p---n
forgatni	forgat	Vmn
forgatnia	forgat	Vmnp3s
forgatná	forgat	Vmcp3s---y
forgatta	forgat	Vmis3s---y
forgattam	forgat	Vmis1s---n
forgattam	forgat	Vmis1s---y
forgatták	forgat	Vmis3p---y
forgatunk	forgat	Vmip1p---n
forgatása	forgatás	Nc-sn---s3
forgatásra	forgatás	Nc-ss
forgatókönyv	forgatókönyv	Nc-sn
forgatókönyvei	forgatókönyv	Nc-pn---s3
forgatókönyvek	forgatókönyv	Nc-pn
forgatókönyvet	forgatókönyv	Nc-sa
forgatókönyvnek	forgatókönyv	Nc-sd
forgatókönyvének	forgatókönyv	Nc-sd-----s
forgatókönyvének	forgatókönyv	Nc-sd---s3
forgatókönyvének	forgatókönyvének	Nc-sn
forgolódott	forgolódik	Vmis3s---n
forgolódott	forgolódott	Afp-sn
forgott	forgott	Afp-sn
forgott	forog	Vmis3s---n
forgó	forgó	Afp-sn
forgó	forgó	Nc-sn
forint	forint	Nc-sn
forint/négyzetméteres	forint/négyzetméteres	Afp-sn
forint/tonna	forint/tonna	Nc-sn
forintba	forint	Nc-sx
forintból	forint	Nc-se
forintig	forint	Nc-s9
forintjuk	forint	Nc-sn---p3
forintjába	forint	Nc-sx---s3
forintkamat	forintkamat	Nc-sn
forintleértékelés	forintleértékelés	Nc-sn
forintnyi	forintnyi	Afp-sn
forintnyit	forintnyi	Afp-sa
forintnál	forint	Nc-s3
forintocskákat	forintocská	Nc-pa
forinton	forint	Nc-sp
forintos	forintos	Afp-sn
forintos	forintos	Nc-sn
forintosat	forintos	Afp-sa
forintot	forint	Nc-sa
forintra	forint	Nc-ss
forintról	forint	Nc-sh
forinttal	forint	Nc-si
forintért	forint	Nc-sc
forintért	forintért	Afp-sn
forma	forma	Afp-sn
forma	forma	Nc-sn
formailag	formailag	Rg
formakultúra	formakultúra	Nc-sn
formalitás	formalitás	Nc-sn
formaság	formaság	Nc-sn
formatervező	formatervező	Afp-sn
formatervező	formatervező	Nc-sn
formatervezők	formatervező	Afp-pn
formatervezők	formatervező	Nc-pn
formába	forma	Afp-sx
formába	forma	Nc-sx
formában	forma	Afp-s2
formában	forma	Nc-s2
formáira	forma	Afp-ps----s3
formáira	forma	Nc-ps---s3
formája	forma	Afp-sn----s3
formája	forma	Nc-sn---s3
formájuk	forma	Afp-sn----p3
formájuk	forma	Nc-sn---p3
formájukat	forma	Afp-sa----p3
formájukat	forma	Nc-sa---p3
formájába	forma	Afp-sx----s3
formájába	forma	Nc-sx---s3
formájában	forma	Afp-s2----s3
formájában	forma	Nc-s2---s3
formájából	forma	Afp-se----s3
formájából	forma	Nc-se---s3
formáját	forma	Afp-sa----s3
formáját	forma	Nc-sa---s3
formájától	forma	Afp-sb----s3
formájától	forma	Nc-sb---s3
formájával	forma	Afp-si----s3
formájával	forma	Nc-si---s3
formájú	formájú	Afp-sn
formákat	forma	Afp-pa
formákat	forma	Nc-pa
formákhoz	forma	Afp-pt
formákhoz	forma	Nc-pt
formákkal	forma	Afp-pi
formákkal	forma	Nc-pi
formális	formális	Afp-sn
formálisan	formális	Afp-sw
formálta	formál	Vmis3s---y
formáló	formáló	Afp-sn
formálódik	formálódik	Vmip3s---n
formán	forma	Afp-sp
formán	forma	Nc-sp
formán	formán	Afp-sn
formának	forma	Afp-sd
formának	forma	Nc-sd
formának	formán	Afp-pn
formás	formás	Afp-sn
formát	forma	Afp-sa
formát	forma	Nc-sa
formátlanságnak	formátlanság	Nc-sd
forog	forog	Vmip3s---n
foroghatott	foroghat	Vmis3s---n
forogjon	forog	Vmmp3s---n
forognak	forog	Vmip3p---n
forogtak	forog	Vmis3p---n
forr	forr	Vmip3s---n
forradalmak	forradalom	Nc-pn
forradalmakat	forradalom	Nc-pa
forradalmat	forradalom	Nc-sa
forradalmi	forradalmi	Afp-sn
forradalmiság	forradalmiság	Nc-sn
forradalmiságban	forradalmiság	Nc-s2
forradalmár	forradalmár	Nc-sn
forradalmárlélek	forradalmárlélek	Nc-sn
forradalmárok	forradalmár	Nc-pn
forradalom	forradalom	Nc-sn
forradalomban	forradalom	Nc-s2
forradalomnak	forradalom	Nc-sd
forradalomról	forradalom	Nc-sh
forradás	forradás	Nc-sn
forradások	forradás	Nc-pn
forradásos	forradásos	Afp-sn
forralt	forral	Vmis3s---n
forralt	forralt	Afp-sn
forrt	forr	Vmis3s---n
forrt	forrt	Afp-sn
forrás	forrás	Nc-sn
forrása	forrás	Nc-sn---s3
forrásaiknak	forrás	Nc-pd---p3
forrásain	forrás	Nc-pp---s3
forrásait	forrás	Nc-pa---s3
forrásból	forrás	Nc-se
forráselvonás	forráselvonás	Nc-sn
forráshiányos	forráshiányos	Afp-sn
forráshiányt	forráshiány	Nc-sa
forrásmegosztási	forrásmegosztási	Afp-sn
forrásmegosztásra	forrásmegosztás	Nc-ss
források	forrás	Nc-pn
forrásokat	forrás	Nc-pa
forrásokból	forrás	Nc-pe
forrást	forrás	Nc-sa
forrástól	forrás	Nc-sb
forró	forró	Afp-sn
forróbban	forró	Afc-s2
forróbban	forró	Afc-sw
forrónyomon	forrónyom	Nc-sp
forrósodó	forrósodó	Afp-sn
forrósodó	forrósodó	Nc-sn
forróság	forróság	Nc-sn
forróságban	forróság	Nc-s2
forróságtól	forróság	Nc-sb
forróságát	forróság	Nc-sa---s3
fortélyát	fortély	Nc-sa---s3
fosszon	foszt	Vmmp3s---n
foszlányok	foszlány	Nc-pn
foszlányt	foszlány	Nc-sa
fosztani	foszt	Vmn
fosztogatás	fosztogatás	Nc-sn
fosztogatások	fosztogatás	Nc-pn
fosztotta	foszt	Vmis3s---y
fosztották	foszt	Vmis3p---y
fotografálás	fotografálás	Nc-sn
fotográfia	fotográfia	Nc-sn
fotó	fotó	Nc-sn
fotókat	fotó	Nc-pa
fotókkal	fotó	Nc-pi
fotóművész	fotóművész	Nc-sn
fotóriporter	fotóriporter	Nc-sn
fotós	fotós	Afp-sn
fotós	fotós	Nc-sn
fotót	fotó	Nc-sa
fotóért	fotó	Nc-sc
fotóért	fotóért	Afp-sn
frakció	frakció	Nc-sn
frakciója	frakció	Nc-sn---s3
frakciójának	frakció	Nc-sd---s3
frakciótanácskozásán	frakciótanácskozás	Nc-sp---s3
frakcióvezető	frakcióvezető	Afp-sn
frakcióvezető	frakcióvezető	Nc-sn
frakcióülés	frakcióülés	Nc-sn
frakking	frakking	Nc-sn
francia	francia	Afp-sn
franciaországi	franciaországi	Afp-sn
franciák	francia	Afp-pn
franciát	francia	Afp-sa
franciául	francia	Afp-sw
franciával	francia	Afp-si
franciáé	francia	Afp-sn------s
frank	frank	Nc-sn
frankfurti	frankfurti	Afp-sn
frankjába	frank	Nc-sx---s3
frankos	frankos	Afp-sn
frazeológiáját	frazeológia	Nc-sa---s3
fregatt	fregatt	Nc-sn
fregattot	fregatt	Nc-sa
frekvenciagazdálkodási	frekvenciagazdálkodási	Afp-sn
freskóival	freskó	Nc-pi---s3
freskóival	freskói	Afp-si
frigid	frigid	Afp-sn
friss	friss	Afp-sn
frissebb	friss	Afc-sn
frissen	friss	Afp-sp
frissen	friss	Afp-sw
frissességét	frissesség	Nc-sa-----s
frissességét	frissesség	Nc-sa---s3
frissességét	frissességét	Nc-sn
frisset	friss	Afp-sa
frissítésre	frissítés	Nc-ss
frissítőket	frissítő	Afp-pa
frissítőket	frissítő	Nc-pa
front	front	Nc-sn
frontharcosok	frontharcos	Afp-pn
frontharcosok	frontharcos	Nc-pn
frontján	front	Nc-sp---s3
fronton	front	Nc-sp
frontról	front	Nc-sh
frontszolgálat	frontszolgálat	Nc-sn
frontvonalak	frontvonal	Nc-pn
frázisa	frázis	Nc-sn---s3
frázisaikban	frázis	Nc-p2---p3
frázisok	frázis	Nc-pn
frázissal	frázis	Nc-si
frázist	frázis	Nc-sa
früstök	früstök	Nc-sn
fuccs	fuccs	Nc-sn
fukar	fukar	Afp-sn
fukarkodni	fukarkodik	Vmn
fukarnak	fukar	Afp-sd
fukarságból	fukarság	Nc-se
fukarságon	fukarság	Nc-sp
fukarságot	fukarság	Nc-sa
fuldoklunk	fuldoklik	Vmip1p---n
fullad	fullad	Vmip3s---n
fulladt	fullad	Vmis3s---n
fulladt	fulladt	Afp-sn
fulladás	fulladás	Nc-sn
fullasztó	fullasztó	Afp-sn
funkciója	funkció	Nc-sn---s3
funkciójában	funkció	Nc-s2---s3
funkcióját	funkció	Nc-sa---s3
funkciók	funkció	Nc-pn
funkciókat	funkció	Nc-pa
funkciókkal	funkció	Nc-pi
funkciót	funkció	Nc-sa
furcsa	furcsa	Afp-sn
furcsább	furcsa	Afc-sn
furcsábban	furcsa	Afc-s2
furcsállhatta	furcsállhat	Vmis3s---y
furcsállva	furcsállva	Rv
furcsán	furcsa	Afp-sp
furcsának	furcsa	Afp-sd
furfang	furfang	Nc-sn
furfangos	furfangos	Afp-sn
furfangosan	furfangos	Afp-sw
furgonjában	furgon	Nc-s2---s3
furulyázó	furulyázó	Afp-sn
fussatok	fut	Vmmp2p---n
fusson	fut	Vmmp3s---n
fut	fut	Vmip3s---n
futamidejű	futamidejű	Afp-sn
futball	futball	Nc-sn
futball-labda	futball-labda	Nc-sn
futballista	futballista	Nc-sn
futballistákról	futballista	Nc-ph
futballkörkép	futballkörkép	Nc-sn
futballmérkőzések	futballmérkőzés	Nc-pn
futballrajongók	futballrajongó	Afp-pn
futballrajongók	futballrajongó	Nc-pn
futja	fut	Vmip3s---y
futkostam	futkos	Vmis1s---n
futkostam	futkos	Vmis1s---y
futkározást	futkározás	Nc-sa
futnak	fut	Vmip3p---n
futni	fut	Vmn
futok	fut	Vmip1s---n
futott	fut	Vmis3s---n
futott	futott	Afp-sn
futotta	fut	Vmis3s---y
futottak	fut	Vmis3p---n
futottak	futott	Afp-pn
futtatja	futtat	Vmip3s---y
futtatják	futtat	Vmip3p---y
futtatni	futtat	Vmn
futtában	futta	Nc-s2
futtában	futtában	Rg
futunk	fut	Vmip1p---n
futurista	futurista	Afp-sn
futva	futva	Rv
futás	futás	Nc-sn
futással	futás	Nc-si
futó	futó	Afp-sn
futó	futó	Nc-sn
futólag	futólag	Rg
fuvarlevélen	fuvarlevél	Nc-sp
fuvarokmányain	fuvarokmány	Nc-pp---s3
fuvaros	fuvaros	Afp-sn
fuvaros	fuvaros	Nc-sn
fuvarosokkal	fuvaros	Afp-pi
fuvarosokkal	fuvaros	Nc-pi
fuvolázva	fuvolázva	Rv
fuzionáljon	fuzionál	Vmmp3s---n
fából	fa	Nc-se
fához	fa	Nc-st
fái	fa	Nc-pn---s3
fáj	fáj	Vmip3s---n
fájdalma	fájdalom	Nc-sn---s3
fájdalmai	fájdalom	Nc-pn---s3
fájdalmak	fájdalom	Nc-pn
fájdalmas	fájdalmas	Afp-sn
fájdalmasan	fájdalmas	Afp-sw
fájdalmat	fájdalom	Nc-sa
fájdalom	fájdalom	Nc-sn
fájdalomcsillapítójuk	fájdalomcsillapító	Afp-sn----p3
fájdalomcsillapítójuk	fájdalomcsillapító	Nc-sn---p3
fájdalomhullám	fájdalomhulla	Nc-sn---s1
fájdalomhullám	fájdalomhullám	Nc-sn
fájdalomkiáltás	fájdalomkiáltás	Nc-sn
fájdalomkiáltást	fájdalomkiáltás	Nc-sa
fájdalommal	fájdalom	Nc-si
fájdalommentesnek	fájdalommentes	Afp-sd
fájdalomra	fájdalom	Nc-ss
fájdalomtól	fájdalom	Nc-sb
fájni	fáj	Vmn
fájt	fáj	Vmis3s---n
fájt	fájt	Afp-sn
fájtak	fáj	Vmis3p---n
fájtak	fájt	Afp-pn
fájós	fájós	Afp-sn
fák	fa	Nc-pn
fákat	fa	Nc-pa
fákkal	fa	Nc-pi
fáklya	fáklya	Nc-sn
fának	fa	Nc-sd
fánkot	fánk	Nc-sa
fára	fa	Nc-ss
fáradhatatlan	fáradhatatlan	Afp-sn
fáradhatatlanul	fáradhatatlan	Afp-sw
fáradnak	fárad	Vmip3p---n
fáradozik	fáradozik	Vmip3s---n
fáradozom	fáradozik	Vmip1s---y
fáradozó	fáradozó	Afp-sn
fáradságos	fáradságos	Afp-sn
fáradságot	fáradság	Nc-sa
fáradságra	fáradság	Nc-ss
fáradságtól	fáradság	Nc-sb
fáradt	fárad	Vmis3s---n
fáradt	fáradt	Afp-sn
fáradtak	fárad	Vmis3p---n
fáradtak	fáradt	Afp-pn
fáradtan	fáradt	Afp-sw
fáradtság	fáradtság	Nc-sn
fáradtsága	fáradtság	Nc-sn---s3
fáradtságból	fáradtság	Nc-se
fáradtságtól	fáradtság	Nc-sb
fáradtságával	fáradtság	Nc-si---s3
fáradtságérzés	fáradtságérzés	Nc-sn
fáradunk	fárad	Vmip1p---n
fáradva	fáradva	Rv
fárassza	fáraszt	Vmmp3s---y
fárasztó	fárasztó	Afp-sn
fárasztóbb	fárasztó	Afc-sn
fárasztónak	fárasztó	Afp-sd
fáraók	fáraó	Nc-pn
fáraóktól	fáraó	Nc-pb
fás	fás	Afp-sn
fásult	fásul	Vmis3s---n
fásult	fásult	Afp-sn
fátlan	fátlan	Afp-sn
fátyolos	fátyolos	Afp-sn
fátyolozza	fátyoloz	Vmip3s---y
fátyolozza	fátyoloz	Vmmp3s---y
fázik	fáz	Vmip3s---n
fázik	fázik	Vmip3s---n
fázis	fázis	Nc-sn
fázisait	fázis	Nc-pa---s3
fázisát	fázis	Nc-sa---s3
fáznak	fáz	Vmip3p---n
fáznak	fázik	Vmip3p---n
fázott	fáz	Vmis3s---n
fázott	fázik	Vmis3s---n
fázott	fázott	Afp-sn
fáztak	fáz	Vmis3p---n
fáztak	fázik	Vmis3p---n
fázékony	fázékony	Afp-sn
fékbetét	fékbetét	Nc-sn
fékbetétek	fékbetét	Nc-pn
féken	fék	Nc-sp
fékezett	fékez	Vmis3s---n
fékezett	fékezett	Afp-sn
fékezhetetlenül	fékezhetetlen	Afp-sw
fékezheti	fékezhet	Vmip3s---y
fékezni	fékez	Vmn
fékezés	fékezés	Nc-sn
fékező	fékező	Afp-sn
fékező	fékező	Nc-sn
fél	fél	Mc-snl
fél	fél	Vmip3s---n
félbe	fél	Mc-sxl
félbe	félbe	Rp
félbeszakadt	félbeszakad	Vmis3s---n
félbeszakadt	félbeszakadt	Afp-sn
félbeszakítani	félbeszakít	Vmn
félbeszakította	félbeszakít	Vmis3s---y
félbolondot	félbolond	Nc-sa
féldecit	féldeci	Nc-sa
